transaction_id,transaction_amount,transaction_time,card_used_before,merchant_id,num_purchases_last_6m,account_age_days,avg_monthly_spending,num_chargebacks,merchant_fraud_rate,user_fraud_rate,transaction_country,is_international,num_declined_transactions,is_fraud
1,4032.230864006922,31257,0,1175,16,392,2521.9423447417525,4,0.3710575295773104,0.5942601104162372,20,0,9,0
2,869.6047254528869,18327,1,1069,35,553,9332.948154562793,1,0.722204559668463,0.7393013730210762,32,1,9,0
3,549.2114432424987,71304,1,1813,1,3228,8356.683244065995,4,0.25917936870732294,0.05684460229254418,194,1,4,0
4,2580.1790933219554,24866,1,1632,23,2894,5558.507903503265,2,0.05707213360705343,0.2755518419559776,60,0,7,0
5,2793.9261229373437,44649,1,1888,45,2128,3429.4152711453885,2,0.055442246152231034,0.6583683986443932,11,1,8,0
6,452.1163470194184,9166,0,1202,14,3279,8593.67213883744,0,0.011313085773312914,0.3923160224635248,20,1,1,1
7,1423.137911557303,82334,1,1800,27,825,1612.5586392717596,1,0.03802600653933763,0.7046658874856562,23,0,2,1
8,1314.557425533356,9042,1,1179,2,3157,1881.7437276003998,1,0.8586606747477543,0.7592282133236664,127,0,3,1
9,931.9218256961155,11969,1,1592,28,743,2324.754505931413,2,0.6972429177797467,0.032294035920719,77,1,6,1
10,1578.8749978760682,51880,0,1566,44,1470,6017.199288677252,2,0.9959311658980421,0.3808597782926366,35,1,5,0
11,186.50544917994492,72739,0,1690,12,2224,3211.8197230698906,2,0.02031272812170659,0.7291389496952475,145,0,5,1
12,3258.0973649844386,63588,0,1609,49,2558,9892.896250841213,0,0.8490015510753194,0.37841598355708495,10,0,9,0
13,4942.447238024171,4641,0,1109,21,138,2031.6190494023274,0,0.6960563292662435,0.005833202985848995,38,0,6,1
14,3170.599790578775,28536,1,1423,30,3173,8075.539965786126,3,0.640342431476493,0.336302932375654,83,0,0,0
15,1806.0211762683873,79910,0,1664,6,2520,1048.7785632172763,1,0.3565321256191839,0.8726527564375296,32,1,7,1
16,3339.8835954272386,14546,0,1958,47,1845,3599.1209667652424,0,0.3767274147899786,0.9519388936925098,54,0,8,1
17,2858.008089196858,14102,1,1502,47,541,2513.248752039933,4,0.8455611905103042,0.5605166426124532,57,0,1,1
18,4233.942895006136,9029,1,1405,25,2241,9770.675891439509,1,0.7134838782612906,0.3063601030410258,107,0,0,0
19,3109.75093034902,47545,0,1985,30,1856,354.73273979681625,3,0.670316580352311,0.46606424817977765,25,0,3,0
20,3170.7476967516222,11322,1,1636,37,2533,7244.528304435542,2,0.030649328449777302,0.23620352703067238,142,0,1,1
21,1109.099277176694,12654,0,1090,37,1337,2552.4490414688903,3,0.18431963563871068,0.16812569424917212,45,0,5,0
22,2078.7205654494282,56663,0,1293,3,1720,8131.361759607529,1,0.96262446023701,0.49353527643203265,172,0,2,1
23,1722.73588521813,75501,0,1392,34,2852,3181.1215558933204,2,0.4543712497901877,0.7366839888607118,118,1,8,1
24,58.11451183135115,59687,1,1036,32,2294,1954.114025613684,3,0.781393230224238,0.22246482603787088,38,0,7,0
25,1567.0903662159178,7508,1,1516,2,2677,6961.0945290903,3,0.3893252262224234,0.9095373129917057,125,0,6,0
26,2430.8245594904283,47859,0,1849,18,2485,2650.0077035086088,1,0.764322877143172,0.16822763875066682,36,1,6,1
27,2999.6433174171952,22132,0,1661,8,72,4906.914012786314,0,0.11921256810551106,0.5584115764642141,88,1,6,1
28,4672.910164605566,65800,1,1877,45,3140,1402.180880909045,4,0.04212801962729762,0.776383258536333,124,1,4,1
29,1196.329683039722,16025,0,1907,18,2801,7273.5203093274085,3,0.46617657152061853,0.21338848268893962,167,1,7,1
30,762.9925265516831,77024,1,1315,18,3223,4127.67843003334,4,0.591646196724495,0.29644444696772043,167,0,3,1
31,4347.358999305791,65924,1,1171,25,2878,1491.7396184288837,1,0.32370189130644134,0.051484248833285506,13,1,4,1
32,4709.29562294815,67607,1,1405,12,2141,7441.790963230722,1,0.7160046279797784,0.9439483968603064,194,1,2,1
33,2440.283288656841,24970,1,1261,21,434,1123.2857011141887,0,0.49581964888728414,0.4869721933773362,162,1,2,0
34,576.9675896890099,47736,0,1483,47,1806,5790.722182838765,2,0.9283168475434426,0.06430617505369707,124,0,1,0
35,2427.456108085579,79990,1,1026,7,2045,6114.103179931508,4,0.0849905174802289,0.8301268131689851,15,0,4,0
36,548.1071921892405,7840,1,1494,23,3502,9310.469953709506,3,0.06656836440108005,0.5693441590496388,58,0,1,0
37,4416.044707924613,29654,1,1054,25,456,1594.7069355978351,2,0.9051218522469859,0.05528471753846853,112,1,9,0
38,3541.0423729766335,77385,0,1910,47,3501,6568.128961329669,4,0.669107132807409,0.4508965706146897,59,0,3,0
39,1206.4439515323097,52408,0,1831,40,2276,3869.6089558131393,4,0.6711182881315382,0.4344030426365766,194,0,9,0
40,4433.566775890617,85939,0,1248,40,2077,4068.062035560463,2,0.027555222280766123,0.14608173343982234,52,0,0,1
41,3189.870743517547,75967,0,1272,2,1648,5068.069301243701,2,0.9376752254885982,0.42037280908728203,69,1,1,1
42,4766.363420267621,22442,0,1258,6,334,2414.467659285152,0,0.771825055930466,0.2828070158649518,103,0,0,0
43,4902.418765203724,65243,1,1777,49,659,4665.714065629335,3,0.7643148178063471,0.6999418952562678,5,0,1,1
44,17.405664389354737,6630,0,1190,1,568,6899.7770671682665,3,0.9119296413470436,0.00549194983956669,43,1,3,0
45,601.9508309287013,47736,0,1574,32,176,4625.419091529747,3,0.5781531660903075,0.10637594342233325,8,0,0,0
46,2735.0647317033718,13008,1,1856,11,2871,520.8334305777839,2,0.39466639056380626,0.9186488090479484,78,1,5,0
47,4779.30851946199,47487,0,1445,47,2615,2652.4798506940924,0,0.4806791685855005,0.4333333273211415,93,0,0,0
48,4971.173943912968,68395,0,1852,11,2456,3579.4561062557846,1,0.7772407033171559,0.17618197467484065,63,1,2,1
49,2837.4722685822962,2393,1,1501,9,776,3611.7392552073734,0,0.7687299825138518,0.7932264368690369,196,0,1,0
50,869.8336432372062,55971,0,1615,40,1260,901.9682359412859,2,0.6095866214277355,0.8515926000764414,163,1,1,0
51,816.0870500235221,79627,0,1392,26,1301,4550.748461010905,0,0.21808035995975117,0.21121401350190006,199,1,3,0
52,3819.524932812578,68657,1,1407,17,76,6950.2952879868135,2,0.8188840913470351,0.7135999924047854,32,1,8,1
53,2960.0964558527826,74652,0,1799,3,932,581.8529786813708,4,0.6472415682101966,0.6151356911669482,97,1,2,1
54,2744.320720764882,70507,0,1770,39,635,7534.149306494983,4,0.2212620208949092,0.7450567113247549,118,0,5,0
55,2329.3588515792812,29644,1,1672,22,2587,9555.541509338238,1,0.4806444497573371,0.7878984192399298,24,1,9,1
56,3625.947998281826,36122,0,1682,20,1677,192.44774807887808,4,0.9972063307478579,0.6609358563932609,50,1,2,0
